Distance,Tee,Fairway,Rough,Sand,Recovery,,TeeExt,FairwayExt,RoughExt,SandExt,RecoveryExt
1,,,,,,,,2.38450659,2.55537403,2.4896849,4.0065438
2,,,,,,,,2.38900636,2.56073612,2.4993196,4.0031152
3,,,,,,,,2.39349931,2.56608627,2.5089041,3.9997142
4,,,,,,,,2.39798544,2.57142448,2.5184384,3.9963408
5,,,,,,,,2.40246475,2.57675075,2.5279225,3.992995
6,,,,,,,,2.40693724,2.58206508,2.5373564,3.9896768
7,,,,,,,,2.41140291,2.58736747,2.5467401,3.9863862
8,,,,,,,,2.41586176,2.59265792,2.5560736,3.9831232
9,,,,,,,,2.42031379,2.59793643,2.5653569,3.9798878
10,,,,,,,,2.424759,2.603203,2.57459,3.97668
11,,,,,,,,2.42919739,2.60845763,2.5837729,3.9734998
12,,,,,,,,2.43362896,2.61370032,2.5929056,3.9703472
13,,,,,,,,2.43805371,2.61893107,2.6019881,3.9672222
14,,,,,,,,2.44247164,2.62414988,2.6110204,3.9641248
15,,,,,,,,2.44688275,2.62935675,2.6200025,3.961055
16,,,,,,,,2.45128704,2.63455168,2.6289344,3.9580128
17,,,,,,,,2.45568451,2.63973467,2.6378161,3.9549982
18,,,,,,,,2.46007516,2.64490572,2.6466476,3.9520112
19,,,,,,,,2.46445899,2.65006483,2.6554289,3.9490518
20,,2.4,2.59,2.53,,,,2.468836,2.655212,2.66416,3.94612
21,,,,,,,,2.47320619,2.66034723,2.6728409,3.9432158
22,,,,,,,,2.47756956,2.66547052,2.6814716,3.9403392
23,,,,,,,,2.48192611,2.67058187,2.6900521,3.9374902
24,,,,,,,,2.48627584,2.67568128,2.6985824,3.9346688
25,,,,,,,,2.49061875,2.68076875,2.7070625,3.931875
26,,,,,,,,2.49495484,2.68584428,2.7154924,3.9291088
27,,,,,,,,2.49928411,2.69090787,2.7238721,3.9263702
28,,,,,,,,2.50360656,2.69595952,2.7322016,3.9236592
29,,,,,,,,2.50792219,2.70099923,2.7404809,3.9209758
30,,,,,,,,2.512231,2.706027,2.74871,3.91832
31,,,,,,,,2.51653299,2.71104283,2.7568889,3.9156918
32,,,,,,,,2.52082816,2.71604672,2.7650176,3.9130912
33,,,,,,,,2.52511651,2.72103867,2.7730961,3.9105182
34,,,,,,,,2.52939804,2.72601868,2.7811244,3.9079728
35,,,,,,,,2.53367275,2.73098675,2.7891025,3.905455
36,,,,,,,,2.53794064,2.73594288,2.7970304,3.9029648
37,,,,,,,,2.54220171,2.74088707,2.8049081,3.9005022
38,,,,,,,,2.54645596,2.74581932,2.8127356,3.8980672
39,,,,,,,,2.55070339,2.75073963,2.8205129,3.8956598
40,,2.6,2.78,2.82,,,,2.554944,2.755648,2.82824,3.89328
41,,,,,,,,2.55917779,2.76054443,2.8359169,3.8909278
42,,,,,,,,2.56340476,2.76542892,2.8435436,3.8886032
43,,,,,,,,2.56762491,2.77030147,2.8511201,3.8863062
44,,,,,,,,2.57183824,2.77516208,2.8586464,3.8840368
45,,,,,,,,2.57604475,2.78001075,2.8661225,3.881795
46,,,,,,,,2.58024444,2.78484748,2.8735484,3.8795808
47,,,,,,,,2.58443731,2.78967227,2.8809241,3.8773942
48,,,,,,,,2.58862336,2.79448512,2.8882496,3.8752352
49,,,,,,,,2.59280259,2.79928603,2.8955249,3.8731038
50,,,,,,,,2.596975,2.804075,2.90275,3.871
51,,,,,,,,2.60114059,2.80885203,2.9099249,3.8689238
52,,,,,,,,2.60529936,2.81361712,2.9170496,3.8668752
53,,,,,,,,2.60945131,2.81837027,2.9241241,3.8648542
54,,,,,,,,2.61359644,2.82311148,2.9311484,3.8628608
55,,,,,,,,2.61773475,2.82784075,2.9381225,3.860895
56,,,,,,,,2.62186624,2.83255808,2.9450464,3.8589568
57,,,,,,,,2.62599091,2.83726347,2.9519201,3.8570462
58,,,,,,,,2.63010876,2.84195692,2.9587436,3.8551632
59,,,,,,,,2.63421979,2.84663843,2.9655169,3.8533078
60,,2.7,2.91,3.15,,,,2.638324,2.851308,2.97224,3.85148
61,,,,,,,,2.64242139,2.85596563,2.9789129,3.8496798
62,,,,,,,,2.64651196,2.86061132,2.9855356,3.8479072
63,,,,,,,,2.65059571,2.86524507,2.9921081,3.8461622
64,,,,,,,,2.65467264,2.86986688,2.9986304,3.8444448
65,,,,,,,,2.65874275,2.87447675,3.0051025,3.842755
66,,,,,,,,2.66280604,2.87907468,3.0115244,3.8410928
67,,,,,,,,2.66686251,2.88366067,3.0178961,3.8394582
68,,,,,,,,2.67091216,2.88823472,3.0242176,3.8378512
69,,,,,,,,2.67495499,2.89279683,3.0304889,3.8362718
70,,,,,,,,2.678991,2.897347,3.03671,3.83472
71,,,,,,,,2.68302019,2.90188523,3.0428809,3.8331958
72,,,,,,,,2.68704256,2.90641152,3.0490016,3.8316992
73,,,,,,,,2.69105811,2.91092587,3.0550721,3.8302302
74,,,,,,,,2.69506684,2.91542828,3.0610924,3.8287888
75,,,,,,,,2.69906875,2.91991875,3.0670625,3.827375
76,,,,,,,,2.70306384,2.92439728,3.0729824,3.8259888
77,,,,,,,,2.70705211,2.92886387,3.0788521,3.8246302
78,,,,,,,,2.71103356,2.93331852,3.0846716,3.8232992
79,,,,,,,,2.71500819,2.93776123,3.0904409,3.8219958
80,,2.75,2.96,3.24,,,,2.718976,2.942192,3.09616,3.82072
81,,,,,,,,2.72293699,2.94661083,3.1018289,3.8194718
82,,,,,,,,2.72689116,2.95101772,3.1074476,3.8182512
83,,,,,,,,2.73083851,2.95541267,3.1130161,3.8170582
84,,,,,,,,2.73477904,2.95979568,3.1185344,3.8158928
85,,,,,,,,2.73871275,2.96416675,3.1240025,3.814755
86,,,,,,,,2.74263964,2.96852588,3.1294204,3.8136448
87,,,,,,,,2.74655971,2.97287307,3.1347881,3.8125622
88,,,,,,,,2.75047296,2.97720832,3.1401056,3.8115072
89,,,,,,,,2.75437939,2.98153163,3.1453729,3.8104798
90,,,,,,,,2.758279,2.985843,3.15059,3.80948
91,,,,,,,,2.76217179,2.99014243,3.1557569,3.8085078
92,,,,,,,,2.76605776,2.99442992,3.1608736,3.8075632
93,,,,,,,,2.76993691,2.99870547,3.1659401,3.8066462
94,,,,,,,,2.77380924,3.00296908,3.1709564,3.8057568
95,,,,,,,,2.77767475,3.00722075,3.1759225,3.804895
96,,,,,,,,2.78153344,3.01146048,3.1808384,3.8040608
97,,,,,,,,2.78538531,3.01568827,3.1857041,3.8032542
98,,,,,,,,2.78923036,3.01990412,3.1905196,3.8024752
99,,,,,,,,2.79306859,3.02410803,3.1952849,3.8017238
100,2.92,2.8,3.02,3.23,3.8,,,2.7969,3.0283,3.2,3.801
101,,,,,,,2.838526881,2.80072459,3.03248003,3.2046649,3.8003038
102,,,,,,,2.842245124,2.80454236,3.03664812,3.2092796,3.7996352
103,,,,,,,2.845964729,2.80835331,3.04080427,3.2138441,3.7989942
104,,,,,,,2.849685696,2.81215744,3.04494848,3.2183584,3.7983808
105,,,,,,,2.853408025,2.81595475,3.04908075,3.2228225,3.797795
106,,,,,,,2.857131716,2.81974524,3.05320108,3.2272364,3.7972368
