Distance,AvgPuttsPro,AvgPuttsProExt,AvgPuttsScratchExt,AvgPutts90Ext
0,1,1,1,1
1,1,1,1,1
2,1.02,1.01,1.01,1.06
3,1.08,1.04,1.07,1.17
4,1.19,1.13,1.2,1.36
5,1.3,1.23,1.34,1.51
6,1.39,1.34,1.45,1.62
7,1.47,1.42,1.54,1.69
8,1.54,1.5,1.6,1.75
9,1.59,1.56,1.65,1.79
10,1.64,1.61,1.68,1.82
11,1.68,1.60906966,1.675446508,1.809739167
12,1.72,1.639262607,1.706596581,1.84532682
13,1.75,1.667037427,1.73525187,1.878064287
14,1.77,1.692752893,1.761782524,1.908374448
15,1.8,1.78,1.81,1.94
16,1.82,1.739088287,1.809586763,1.962988787
17,1.84,1.76012503,1.831290377,1.987784258
18,1.85,1.779959,1.851753089,2.011162049
19,1.86,1.798720326,1.871109155,2.033275542
20,1.88,1.87,1.89,2.02
21,1.89,1.833449286,1.906939033,2.074209677
22,1.91,1.849591731,1.923593198,2.093236363
23,1.92,1.865016493,1.939506929,2.111417134
24,1.93,1.879784679,1.954743271,2.128824017
25,1.94,1.893949911,1.969357545,2.145520212
26,1.95,1.907559499,1.983398561,2.161561484
27,1.96,1.920655393,1.996909598,2.176997278
28,1.96,1.933274965,2.009929215,2.191871645
29,1.97,1.945451653,2.022491907,2.206223994
30,1.98,1.98,2.03,2.16
31,1.99,1.96859356,2.046367419,2.233500767
32,2,1.979610358,2.057733453,2.246485984
33,2.01,1.990288124,2.068749707,2.259071593
34,2.01,2.000647102,2.079437068,2.271281455
35,2.02,2.010705777,2.089814606,2.283137357
36,2.03,2.020481072,2.09989978,2.294659246
37,2.03,2.029988516,2.109708613,2.305865426
38,2.04,2.039242397,2.119255845,2.316772739
39,2.05,2.048255891,2.128555069,2.327396713
40,2.06,2.06,2.14,2.3
41,2.07,2.065609507,2.1464588,2.347850975
42,2.08,2.073971358,2.155085723,2.357706874
43,2.09,2.08213644,2.163509641,2.367330847
44,2.09,2.090113803,2.171739889,2.37673356
45,2.1,2.097911884,2.179785171,2.385924958
46,2.11,2.105538565,2.18765362,2.394914331
47,2.12,2.113001218,2.195352841,2.403710369
48,2.13,2.120306751,2.202889962,2.412321213
49,2.13,2.127461643,2.210271667,2.420754502
50,2.14,2.14,2.22,2.41
51,2.15,2.141343495,2.224593577,2.437116684
52,2.16,2.14808157,2.231545251,2.445058681
53,2.16,2.154691294,2.238364505,2.452849393
54,2.17,2.161177464,2.245056289,2.460494475
55,2.17,2.167544615,2.25162528,2.467999273
56,2.18,2.173797037,2.258075905,2.475368842
57,2.2,2.17993879,2.264412354,2.482607969
58,2.2,2.185973725,2.270638598,2.489721191
59,2.21,2.191905493,2.276758405,2.496712815
60,2.23,2.21,2.3,2.51
61,2.22,2.203473231,2.288692843,2.51034741
62,2.22,2.209115632,2.29451411,2.516997963
63,2.22,2.21466775,2.300242232,2.523542103
64,2.24,2.22013243,2.305880144,2.529983181
65,2.24,2.225512383,2.311430643,2.536324393
66,2.26,2.230810195,2.316896398,2.542568789
67,2.26,2.236028339,2.322279958,2.548719281
68,2.27,2.241169174,2.327583758,2.554778651
69,2.27,2.246234957,2.332810129,2.56074956
70,2.28,2.251227849,2.337961297,2.566634554
71,2.3,2.256149917,2.343039396,2.57243607
72,2.3,2.261003143,2.348046471,2.578156443
73,2.29,2.265789426,2.35298448,2.583797911
74,2.31,2.270510587,2.357855303,2.589362623
75,2.31,2.275168375,2.362660745,2.594852638
76,2.34,2.279764469,2.367402536,2.600269936
77,2.36,2.284300481,2.372082341,2.605616418
78,2.37,2.288777963,2.37670176,2.61089391
79,2.35,2.293198405,2.381262331,2.616104172
80,2.35,2.297563242,2.385765535,2.621248894
81,2.4,2.301873857,2.390212797,2.626329704
82,2.36,2.306131579,2.394605491,2.631348172
83,2.36,2.310337691,2.398944938,2.636305809
84,2.4,2.314493429,2.403232414,2.641204071
85,2.41,2.318599986,2.40746915,2.646044364
86,2.42,2.322658512,2.411656332,2.650828044
87,2.37,2.326670117,2.415795106,2.655556421
88,2.35,2.330635875,2.41988658,2.660230757
89,2.43,2.33455682,2.42393182,2.664852275
90,2.45,2.338433956,2.427931862,2.669422155
